"_id","consecutivo","latitud","longitud","estado","zona","zona_id","usuario_creador","fecha_creacion","fecha_modificacion","__v","fecha_ultima_lectura","ultima_energia_activa_reportada","ultima_intensidad_luz_reportada","ultimo_estado_luminaria_reportado","ultimo_modo_operacion_reportado","energia_activa_ultimo_encendido","fecha_ultima_solicitud","ultima_solicitud_enviada","ultimo_modo_operacion_enviado","usuario_modificador"
"ObjectId(""635ae316c937507afde0f312"")",223708,5.117192058715601,-74.48038555067617,true,"ObjectId(""635ad58b54de85632f87c253"")","635ad58b54de85632f87c253","ObjectId(""635ad47c54de85632f87c207"")","2022-10-27T19:59:18.034Z","2023-09-20T01:37:05.761Z",0,"2023-09-20T01:37:05.000Z",315.6,0,"Encendida","Automático",315.4,"2023-02-12T19:16:46.000Z","Encender","Automático",
"ObjectId(""635ae391c937507afde0f32c"")",223626,5.117053930068946,-74.48041737079326,true,"ObjectId(""635ad58b54de85632f87c253"")","635ad58b54de85632f87c253","ObjectId(""635ad47c54de85632f87c207"")","2022-10-27T20:01:21.070Z","2023-09-20T01:36:37.483Z",0,"2023-09-20T01:36:37.000Z",47.3,0,"Encendida","Automático",47.2,"2023-02-12T19:16:46.000Z","Encender","Automático",
"ObjectId(""635ae563c937507afde0f360"")",223659,5.117055232051268,-74.48040197947276,true,"ObjectId(""635ad58b54de85632f87c253"")","635ad58b54de85632f87c253","ObjectId(""635ad47c54de85632f87c207"")","2022-10-27T20:09:07.515Z","2023-09-20T01:37:35.967Z",0,"2023-09-20T01:37:35.000Z",285.7,0,"Encendida","Automático",285.5,"2023-02-12T19:16:46.000Z","Encender","Automático",
"ObjectId(""635ae5d1c937507afde0f37a"")",223625,5.11691569794853,-74.48044976465876,true,"ObjectId(""635ad58b54de85632f87c253"")","635ad58b54de85632f87c253","ObjectId(""635ad47c54de85632f87c207"")","2022-10-27T20:10:57.156Z","2023-09-20T01:36:31.585Z",0,"2023-09-20T01:36:31.000Z",336,0,"Encendida","Automático",335.7,"2023-02-12T19:16:46.000Z","Encender","Automático",
"ObjectId(""635ae66ac937507afde0f394"")",223593,5.116915699768316,-74.48042364861172,true,"ObjectId(""635ad58b54de85632f87c253"")","635ad58b54de85632f87c253","ObjectId(""635ad47c54de85632f87c207"")","2022-10-27T20:13:30.649Z","2023-09-20T01:37:52.803Z",0,"2023-09-20T01:37:52.000Z",331.2,0,"Encendida","Automático",331,"2023-02-12T19:16:46.000Z","Encender","Automático",
"ObjectId(""635ae6e1c937507afde0f3ae"")",223658,5.117138562354579,-74.47983732675038,true,"ObjectId(""635ad58b54de85632f87c253"")","635ad58b54de85632f87c253","ObjectId(""635ad47c54de85632f87c207"")","2022-10-27T20:15:29.504Z","2023-09-03T15:00:26.587Z",0,"2023-09-03T15:00:26.000Z",311.7,0,"Encendida","Automático",311.7,"2023-02-12T19:16:46.000Z","Encender","Automático",
"ObjectId(""635ae731c937507afde0f3c8"")",223497,5.116636558714014,-74.48047019178043,false,"ObjectId(""635ad58b54de85632f87c253"")","635ad58b54de85632f87c253","ObjectId(""635ad47c54de85632f87c207"")","2022-10-27T20:16:49.040Z","2023-04-11T11:40:48.847Z",0,"2022-12-26T14:54:52.000Z",2,4095,"Apagada","Automático",2,,,,"ObjectId(""63ebce8a025c8126178cea54"")"
"ObjectId(""635ae80dc937507afde0f3cf"")",223494,5.116641939333837,-74.48043935677138,true,"ObjectId(""635ad58b54de85632f87c253"")","635ad58b54de85632f87c253","ObjectId(""635ad47c54de85632f87c207"")","2022-10-27T20:20:29.945Z","2023-09-20T01:38:26.404Z",0,"2023-09-20T01:38:26.000Z",620.4,0,"Encendida","Automático",620,"2023-02-12T19:16:46.000Z","Encender","Automático",
"ObjectId(""635ae8f6c937507afde0f3e9"")",223652,5.116754337515528,-74.48017072675036,true,"ObjectId(""635ad58b54de85632f87c253"")","635ad58b54de85632f87c253","ObjectId(""635ad47c54de85632f87c207"")","2022-10-27T20:24:22.202Z","2023-09-20T01:36:55.414Z",0,"2023-09-20T01:36:55.000Z",137.4,0,"Encendida","Automático",137.2,"2023-02-12T19:16:46.000Z","Encender","Automático",
"ObjectId(""635ae9a1c937507afde0f403"")",223643,5.116892573108283,-74.48008464134551,true,"ObjectId(""635ad58b54de85632f87c253"")","635ad58b54de85632f87c253","ObjectId(""635ad47c54de85632f87c207"")","2022-10-27T20:27:13.405Z","2023-09-20T01:36:58.705Z",0,"2023-09-20T01:36:58.000Z",290.4,0,"Encendida","Automático",290.2,"2023-02-12T19:16:46.000Z","Encender","Automático",
